Gene,Protein Length,Molecular Weight,Isoelectric Point,Hydrophobicity
pdxA,329,35113.36,5.869103431701659,52.27963525835866
surA,428,47283.1738,6.477735328674316,44.626168224299064
lptD,784,89670.0456,4.936489295959471,43.23979591836735
djlA,271,30579.036,9.743896675109863,45.75645756457565
yabP,216,24790.5279,9.382551383972167,44.44444444444444
yabQ,52,5704.6078,6.401798439025879,46.15384615384615
rluA,219,24860.362,7.8304750442504885,50.2283105022831
rapA,968,109767.74699999999,5.040390968322753,45.24793388429752
polB,783,90019.38930000001,6.403958320617675,46.87100893997446
araD,231,25518.6105,5.728483772277833,46.320346320346324
araA,500,56073.3549,6.082420158386229,46.2
araB,566,61088.7214,5.231540489196777,50.0
araC,292,33383.5087,6.455397605895995,47.26027397260274
yabI,254,28243.788999999997,9.906034660339355,62.20472440944882
thiQ,232,24998.8635,9.13428363800049,48.275862068965516
thiP,536,59532.459899999994,9.39608974456787,61.940298507462686
thiB,327,36130.8935,6.9108484268188475,51.37614678899083
sgrR,551,63974.3712,6.4730745315551745,47.186932849364794
sgrT,43,5338.089,7.957929039001465,46.51162790697674
setA,392,42712.727,9.56112880706787,63.26530612244898
leuD,201,22487.205299999998,5.160662269592284,49.75124378109453
leuC,466,49881.2923,5.898318672180175,45.27896995708154
leuB,363,39516.559199999996,5.137699317932127,48.760330578512395
leuA,523,57297.241299999994,5.4746408462524405,45.506692160611856
leuL,28,3145.7286999999997,11.999967765808105,46.42857142857143
leuO,314,35694.3204,5.796349525451659,48.089171974522294
yabR,14,1725.9914999999999,10.277952766418455,35.714285714285715
ilvI,574,62983.630099999995,5.879391288757325,48.606271777003485
ilvH,163,17976.5416,8.007956504821777,43.558282208588956
cra,334,37966.8364,6.507632637023924,48.20359281437126
mraZ,152,17385.833199999997,5.363009071350096,45.39473684210527
rsmH,313,34877.3969,6.067471504211425,45.04792332268371
ftsL,121,13626.6728,6.2855627059936525,44.62809917355372
ftsI,588,63876.6545,9.64364833831787,47.95918367346938
murE,495,53310.9262,5.425872993469238,48.282828282828284
murF,452,47446.5803,5.253423500061035,49.336283185840706
mraY,360,39874.2484,9.647645378112792,62.22222222222222
murD,438,46973.0941,5.153386878967283,48.17351598173516
ftsW,414,45986.5464,9.788121986389157,59.42028985507246
murG,355,37814.2744,9.735451316833494,52.67605633802817
murC,491,53625.32979999999,5.528865242004394,48.472505091649694
ddlB,306,32839.329,4.772395133972168,49.34640522875817
ftsQ,276,31433.3553,6.355190467834471,44.20289855072464
ftsA,420,45329.4504,5.844548988342285,45.23809523809524
ftsZ,383,40323.462199999994,4.649338722229005,47.78067885117493
lpxC,305,33955.5271,5.5427339553833,49.18032786885246
secM,170,18847.2543,9.982429695129394,50.588235294117645
secA,901,102021.81999999999,5.431329536437987,43.84017758046615
mutT,129,14926.8881,5.011800956726074,48.06201550387597
yacG,65,7306.096300000001,4.487177085876465,35.38461538461539
zapD,247,28291.2873,6.310401344299317,46.558704453441294
coaE,206,22621.4247,5.774523353576659,50.970873786407765
yacM,14,1690.1300999999999,11.999967765808105,42.857142857142854
guaC,347,37383.2577,6.102939033508299,43.22766570605187
hofC,400,44449.986099999995,8.32430286407471,54.0
hofB,461,50614.744099999996,6.20036106109619,47.50542299349241
ppdD,146,15621.592800000002,4.613530158996581,45.89041095890411
nadC,297,32761.6613,5.07165241241455,43.77104377104377
ampD,183,20535.930800000002,5.262404060363769,47.540983606557376
ampE,284,32121.575399999998,9.72346019744873,58.098591549295776
aroP,457,49689.5407,8.74786014556885,61.925601750547045
pdhR,254,29425.110699999997,6.0358690261840815,43.7007874015748
aceE,887,99667.2782,5.456793403625488,44.53213077790304
aceF,630,66095.2674,5.090466117858886,50.95238095238095
lpd,474,50687.879199999996,5.789415168762207,47.46835443037975
yacH,617,69361.1336,8.56915378570557,42.463533225283626
acnB,865,93464.95000000001,5.239668464660644,49.13294797687861
yacL,120,13941.4012,4.44909496307373,44.166666666666664
speD,264,30366.2681,5.190957450866698,45.07575757575758
speE,288,32321.0159,5.329474067687988,46.52777777777778
yacC,115,12853.591499999999,5.286674308776854,49.56521739130435
cueO,516,56555.5463,6.279708290100097,48.837209302325576
gcd,796,86746.3046,5.39904499053955,52.01005025125628
hpt,178,20115.0133,5.090920829772949,46.06741573033708
can,220,25096.4793,6.164040946960449,44.09090909090909
yadG,308,34646.65,8.438476371765141,45.12987012987013
yadH,256,28515.8015,9.625726127624514,63.671875
yadI,146,16539.8992,5.946233940124511,45.89041095890411
yadE,409,46314.5173,9.815778923034667,48.655256723716384
panD,126,13833.5769,5.752128791809082,48.41269841269841
rpnC,300,34606.3969,5.219547462463377,47.66666666666667
panC,283,31565.242,5.925658226013183,48.409893992932865
panB,264,28237.117099999996,5.148441886901854,51.13636363636363
yadC,412,44898.669,5.549440956115721,42.23300970873786
yadK,198,21111.779,5.868932914733886,44.44444444444444
yadL,201,21046.705299999998,8.621437644958498,46.26865671641791
yadM,189,20306.771399999998,7.726885795593262,39.682539682539684
htrE,865,95466.22209999998,4.878172492980957,41.50289017341041
yadV,246,27053.529499999997,9.242074775695798,46.7479674796748
yadN,194,20117.3844,5.252911949157714,42.78350515463917
folK,159,18078.5667,5.341694450378417,51.57232704402516
pcnB,465,53852.2338,9.669435691833495,45.806451612903224
gluQ,308,34867.1365,6.421123695373535,48.701298701298704
dksA,151,17527.564599999998,5.062842369079589,37.74834437086093
sfsA,234,26228.4868,6.534517478942871,44.44444444444444
thpR,176,19933.6789,10.479351997375485,51.13636363636363
hrpB,809,89114.6791,6.116353034973144,49.81458590852905
mrcB,844,94291.4317,9.09972858428955,46.56398104265403
mrcB,844,94291.4317,9.09972858428955,46.56398104265403
fhuA,747,82181.24900000001,5.465432929992676,43.90896921017403
fhuC,265,28886.0953,6.79876194000244,50.943396226415096
fhuD,296,32997.955,5.9763586044311525,56.08108108108109
fhuB,660,70390.1381,10.851012229919434,63.33333333333333
hemL,426,45365.629499999995,4.733005714416504,52.347417840375584
yadX,15,1806.0249,5.8228364944458,46.666666666666664
clcA,473,50348.1235,9.439090156555174,57.71670190274841
yadW,21,2329.7744,4.85339069366455,66.66666666666666
erpA,114,12100.354,4.108629417419433,41.228070175438596
yadS,207,22127.4203,8.661214637756348,61.83574879227053
btuF,266,29366.459199999998,8.829283714294434,52.63157894736842
mtn,232,24353.6853,5.0916597366333,50.0
dgt,505,59382.218499999995,7.045954704284667,46.33663366336634
degP,474,49353.663700000005,8.647869682312013,43.88185654008439
cdaR,385,43686.835399999996,6.287552070617676,46.23376623376623
yaeH,128,15095.9771,6.613978385925294,38.28125
yaeI,270,29863.050299999995,6.132950019836425,50.74074074074074
dapD,274,29891.734300000004,5.5625707626342775,46.715328467153284
glnD,890,102388.8966,6.224347114562988,46.29213483146067
map,264,29330.4873,5.640610694885253,43.56060606060606
rpsB,241,26743.3269,6.612500572204591,45.22821576763486
tsf,283,30422.6322,5.2154550552368155,46.28975265017668
pyrH,241,25969.9802,6.850996971130371,50.20746887966805
frr,185,20606.2692,6.624323081970215,42.7027027027027
dxr,398,43387.5375,5.674657249450684,49.246231155778894
ispU,253,28411.7334,6.488477897644043,44.26877470355731
cdsA,285,31435.342099999998,9.232791328430174,63.859649122807014
rseP,450,49070.68519999999,6.627790260314941,54.22222222222223
bamA,810,90551.62670000001,4.92949810028076,42.46913580246914
skp,161,17655.9682,9.694771766662598,41.61490683229814
lpxD,341,36038.106400000004,6.072871208190917,46.9208211143695
fabZ,151,17014.7186,7.0323701858520495,50.993377483443716
lpxA,262,28047.6003,6.665929222106934,44.656488549618324
lpxB,382,42381.9724,6.571917533874512,52.09424083769634
rnhB,198,21525.7456,7.142012596130371,53.535353535353536
dnaE,1160,129903.05679999999,5.164754676818846,47.672413793103445
accA,319,35241.1323,5.762416648864746,48.90282131661442
ldcC,713,80589.37580000001,5.3470373153686515,48.66760168302945
yaeR,129,14736.511900000001,5.083190727233886,49.6124031007752
tilS,432,48203.5846,6.526673698425292,49.074074074074076
rof,84,9479.5393,4.627853584289551,40.476190476190474
yaeP,66,7182.080999999999,4.536740684509279,54.54545454545454
yaeQ,181,20876.4266,4.942400550842284,47.51381215469613
arfB,140,15622.882299999997,10.784480857849122,42.142857142857146
nlpE,236,25844.0227,5.000205802917479,46.186440677966104
yaeF,274,29911.992400000003,8.527958488464353,47.08029197080292
proS,572,63691.83339999999,5.121784400939941,47.72727272727273
trmO,235,26362.0054,7.855617713928223,51.91489361702127
rcsF,134,14163.338999999998,9.351606559753417,47.01492537313433
metQ,271,29431.257299999997,5.126558876037596,48.708487084870846
metI,217,23255.796499999997,10.059469413757324,64.0552995391705
metN,343,37787.9287,5.946745491027832,44.31486880466473
gmhB,191,21261.9427,4.968148612976075,48.167539267015705
dkgB,267,29436.4224,5.491635704040527,49.812734082397
yafC,304,33775.4229,6.930401039123535,46.71052631578947
yafD,266,29959.245500000005,9.620375251770017,53.00751879699248
yafE,207,22990.8153,5.761336708068847,51.20772946859904
mltD,452,49416.903,9.882697105407715,43.584070796460175
gloB,251,28434.035,5.434285163879394,45.41832669322709
ykfO,10,1201.416,7.9752710342407225,40.0
yafS,240,27243.8542,10.039032936096191,50.83333333333333
rnhA,155,17596.7878,8.42854824066162,41.29032258064516
dnaQ,243,27098.6267,5.535174369812012,46.09053497942387
yafT,261,29605.3452,6.013986015319824,41.7624521072797
ykfM,159,18117.6476,9.566350746154786,58.490566037735846
yafV,256,28892.4825,6.069801902770995,50.390625
ivy,157,16872.1197,6.266862678527832,43.31210191082803
fadE,814,89223.3748,8.221346855163574,50.61425061425061
gmhA,192,20814.5109,5.965957069396972,45.3125
yafJ,255,28635.2828,8.140954780578614,43.529411764705884
dpaA,246,28020.885199999997,9.14582347869873,46.7479674796748
yafQ,92,10846.485,9.521093940734861,46.73913043478261
dinJ,86,9405.682700000001,5.244840812683105,47.674418604651166
yafL,249,28784.4398,9.59084873199463,44.97991967871486
rayT,165,20041.589,9.542497444152833,44.84848484848485
dinB,351,39515.466499999995,9.281207084655762,46.72364672364672
yafN,97,11233.6336,5.477312278747559,47.42268041237113
yafO,132,15487.6528,6.96899471282959,50.0
yafP,150,17554.9323,9.326721763610841,48.66666666666667
pepD,485,52882.7097,5.204655647277831,46.597938144329895
gpt,152,16970.3864,5.520396232604979,50.6578947368421
frsA,414,47008.2336,6.465401268005371,48.792270531400966
crl,27,3054.6133999999997,11.068786430358884,44.44444444444444
insB9,167,19564.3535,10.126387596130368,43.712574850299404
insA9,91,9836.214699999999,10.322113609313963,35.16483516483517
phoE,351,38921.519100000005,4.933135795593261,40.45584045584046
proB,367,39056.053199999995,6.073325920104979,46.59400544959128
proA,417,44629.5476,5.418313407897949,47.24220623501199
ykfI,113,12904.852599999998,9.385581398010252,49.557522123893804
yafW,105,11939.4654,6.271182441711425,40.95238095238095
ykfH,73,8580.8288,9.778516197204588,42.465753424657535
ykfG,158,18098.5484,8.30270595550537,46.835443037974684
yafX,152,17419.353499999997,4.667811393737793,50.0
ykfF,79,9013.934799999999,8.358342170715336,39.24050632911392
ykfB,155,17025.531799999997,4.49456615447998,40.64516129032258
yafY,147,16814.7969,4.579483604431153,44.21768707482993
yafZ,273,31050.9525,9.36791706085205,41.39194139194139
ykfA,287,31891.364199999996,7.6775495529174815,48.78048780487805
perR,297,33638.3788,6.163017845153808,50.16835016835017
insN,122,13990.8771,9.611800956726075,37.704918032786885
insI1,383,44266.3527,10.874801063537596,37.85900783289817
ykfC,381,43720.390400000004,10.263640785217284,46.981627296587924
insH1,326,37850.9642,9.492985725402832,43.86503067484663
mmuP,467,50525.1973,8.780996894836427,61.02783725910065
mmuM,310,33422.4289,5.340500831604003,50.967741935483865
afuC,348,39058.3121,5.750992012023925,46.839080459770116
insB2,167,19757.6073,10.305609703063961,44.31137724550898
insA2,91,9870.230899999999,10.322113609313963,35.16483516483517
yagB,116,13183.873899999999,7.089607048034667,43.96551724137931
yagA,384,43768.14139999999,9.325561332702637,41.14583333333333
yagE,302,32529.989299999997,5.964933967590333,50.331125827814574
yagF,655,69398.4213,5.966127586364746,46.87022900763359
yagG,460,50631.2371,8.69615650177002,57.608695652173914
yagH,536,60824.2731,5.408480262756346,45.8955223880597
xynR,252,27837.5869,7.032085990905761,46.03174603174603
argF,334,36826.744699999996,5.625718879699707,46.10778443113773
argL,31,3681.2075000000004,10.019563484191895,41.935483870967744
ykgS,42,4630.304,5.451052665710448,52.38095238095239
insB3,167,19757.6073,10.305609703063961,44.31137724550898
insA3,91,9870.230899999999,10.322113609313963,35.16483516483517
yagJ,243,27859.0174,4.880730247497559,46.913580246913575
yagK,208,24470.6078,7.5904722213745135,41.82692307692308
yagL,232,27273.465,9.424520301818848,40.94827586206897
yagM,284,32678.136300000002,8.52692699432373,43.66197183098591
ykgV,74,8637.900399999999,9.515356254577636,43.24324324324324
yagN,146,15814.8646,9.270569801330566,43.83561643835616
intF,466,53073.436100000006,9.927502632141113,45.493562231759654
yagP,136,15410.669599999997,8.659087181091309,52.94117647058824
paoD,318,34953.6226,6.371162223815918,48.113207547169814
paoC,732,78087.44089999999,5.855234718322753,46.44808743169399
paoB,318,33857.4488,9.02836208343506,50.314465408805034
paoA,229,24342.400999999998,5.550748252868652,42.35807860262008
yagU,204,22966.5112,6.504677009582519,59.31372549019608
ykgJ,109,11798.416799999999,8.756950187683106,40.36697247706422
ecpE,236,26627.9711,9.485056114196777,44.91525423728814
ecpD,547,59996.407699999996,5.1694154739379865,43.51005484460695
ecpC,841,91227.3708,6.415326118469238,41.49821640903686
ecpB,222,24516.686899999997,9.412980461120608,46.3963963963964
ecpA,195,20111.2147,4.653772163391113,43.07692307692308
matA,196,23241.4071,9.409047889709473,44.38775510204081
ykgL,75,8766.7891,8.065784645080566,41.333333333333336
ykgO,46,5466.5583,11.395770072937015,34.78260869565217
ykgM,87,9920.0643,9.299645042419431,40.229885057471265
ykgR,33,3998.7307,8.140052223205569,63.63636363636363
insE1,99,11543.0052,9.92208728790283,37.37373737373738
insF1,288,33540.0396,9.81410274505615,43.05555555555556
rclC,197,21899.200299999997,5.937537574768067,54.82233502538071
rclB,78,8471.689900000001,9.455400657653808,48.717948717948715
rclA,441,48243.633,6.055307960510253,46.71201814058957
rclR,284,31473.9998,6.7930212020874015,50.0
ykgE,239,25971.9731,7.635318183898925,47.28033472803347
ykgF,475,53051.3186,8.749342918395996,44.631578947368425
ykgG,231,25212.4201,4.962862586975096,45.887445887445885
ykgH,222,25588.5745,7.543011665344238,48.1981981981982
betA,556,61858.87109999999,5.447869682312012,44.064748201438846
betB,490,52910.5159,5.190332221984861,47.3469387755102
betI,195,21814.7558,10.160362434387206,46.15384615384615
betT,677,75841.2563,6.436299705505371,55.391432791728214
yahV,24,2597.3118999999997,4.0500284194946286,75.0
pdeL,362,40724.4138,5.95589656829834,47.790055248618785
yahB,310,34865.59329999999,6.662348365783692,46.45161290322581
yahC,165,17310.8536,8.551940727233887,53.939393939393945
yahD,201,21686.8153,5.437183952331543,47.2636815920398
yahE,287,32233.298899999994,6.2206525802612305,45.99303135888502
yahF,515,55580.0904,5.078870964050291,45.43689320388349
yahG,472,50373.402,4.924268913269042,50.21186440677966
yahH,106,10602.1576,7.972950172424316,50.943396226415096
yahI,316,33930.452900000004,5.738828468322754,46.835443037974684
yahJ,460,50548.1725,6.064004325866699,45.869565217391305
yahK,349,37977.9829,5.801124000549316,45.845272206303726
yahL,271,31792.336499999998,5.704554557800294,49.44649446494465
xtpA,60,6969.1353,10.5170015335083,45.0
yahM,81,8890.367,10.446279716491699,45.67901234567901
yahN,223,24811.0342,10.246814537048337,58.744394618834086
yahO,91,9895.274,5.796633720397949,42.857142857142854
prpR,528,58648.705400000006,8.289747810363771,48.484848484848484
prpB,296,32134.2898,5.442299461364747,50.67567567567568
prpC,389,43101.6668,6.656550788879396,45.75835475578406
prpD,483,53951.1183,5.677442359924316,50.103519668737064
prpE,628,69350.1066,5.634926795959472,48.089171974522294
codB,419,43617.0027,9.09972858428955,60.14319809069213
codA,427,47558.3382,5.723822975158692,46.604215456674474
cynR,299,32960.4962,6.352291679382325,50.50167224080268
cynT,219,23731.932,7.135135078430175,51.141552511415526
cynS,156,17048.6279,4.997022819519042,51.92307692307693
cynX,384,41360.214199999995,10.281691932678221,63.28125
lacA,203,22780.7027,6.25236873626709,46.30541871921182
lacY,417,46502.6956,8.96170177459717,60.671462829736214
lacZ,1024,116481.48060000001,5.276784324645996,45.8984375
lacI,360,38557.651999999995,6.419248008728027,48.61111111111111
mhpR,277,31321.7147,8.882083320617678,45.12635379061371
mhpA,554,62184.9812,7.703354454040528,50.361010830324915
mhpB,314,34195.637,5.372046470642091,51.59235668789809
mhpC,288,31937.100999999995,6.244240760803222,45.48611111111111
mhpD,269,28889.542599999997,5.166005134582518,48.698884758364315
mhpF,316,33442.106100000005,5.325040626525879,52.21518987341772
mhpE,337,36470.040799999995,5.6659040451049805,47.18100890207715
mhpT,403,41550.2941,9.775292778015135,62.531017369727046
yaiL,179,19922.510000000002,7.833827400207521,44.6927374301676
frmB,277,31424.114700000002,5.811013984680176,48.73646209386281
frmA,369,39358.5544,5.84909610748291,44.986449864498645
frmR,91,10317.6104,5.843184852600097,40.65934065934066
yaiO,257,29039.9755,6.8345136642456055,45.525291828793776
yaiX,122,13701.874399999999,9.069944190979005,50.81967213114754
insC1,121,13451.4657,9.518515205383299,47.107438016528924
insD1,301,34365.6654,9.212354850769042,42.19269102990033
yaiP,398,44707.9975,9.224152565002441,53.015075376884425
ykiC,39,4432.3183,7.823770332336427,61.53846153846154
yaiS,185,20454.249499999998,6.307047843933106,45.94594594594595
tauA,320,34265.6565,6.851906394958497,51.87500000000001
tauB,255,28296.3995,6.4561365127563475,48.627450980392155
tauC,275,29811.538599999996,10.607579612731932,63.63636363636363
tauD,283,32409.0878,6.266066932678222,47.349823321554766
hemB,324,35624.419200000004,5.2498994827270495,48.148148148148145
yaiT,486,52855.6344,4.0500284194946286,36.831275720164605
ytiB,18,2019.371,11.999967765808105,50.0
insF2,288,33540.0396,9.81410274505615,43.05555555555556
insE2,99,11543.0052,9.92208728790283,37.37373737373738
iprA,207,23955.3568,7.746893119812013,46.3768115942029
ampH,385,41830.5196,9.49807872772217,48.57142857142857
sbmA,406,46458.7734,8.457945823669434,60.09852216748769
yaiW,364,40413.8602,9.583692741394039,46.15384615384615
yaiY,102,11424.3572,9.887338829040527,56.86274509803921
yaiZ,70,8097.3558,8.160811042785646,57.14285714285714
ddlA,364,39315.3295,5.020383644104004,48.62637362637363
iraP,86,9937.3652,4.81803684234619,46.51162790697674
phoA,471,49405.9342,5.746615409851075,43.94904458598726
psiF,106,11686.4251,9.78380260467529,36.79245283018868
dgcC,371,41537.0201,9.563062858581542,52.83018867924528
proC,269,28144.5888,5.6380529403686515,53.159851301115246
yaiI,152,16969.2667,5.587409400939941,50.0
aroL,174,19150.606,4.715612983703613,47.701149425287355
yaiA,63,7281.1134,6.0827043533325185,44.44444444444444
aroM,225,24916.6155,4.798200035095214,51.11111111111111
ppnP,94,10234.2772,4.468704414367674,45.744680851063826
ykiD,27,3233.7945,11.999967765808105,40.74074074074074
rdgC,303,33992.9634,5.272976112365721,45.21452145214521
mak,302,32467.309400000002,5.482370948791503,43.70860927152318
araJ,394,41925.878399999994,9.54952449798584,62.43654822335025
sbcC,1048,118719.66149999999,5.468786430358887,39.69465648854962
sbcD,400,44712.966199999995,5.529660987854004,45.5
phoB,229,26433.075599999996,5.45804386138916,46.724890829694324
phoR,431,49596.731400000004,9.62604846954346,45.93967517401392
brnQ,439,46208.1588,8.589461326599121,62.1867881548975
proY,457,50215.134300000005,9.6257905960083,59.73741794310722
malZ,604,69040.17259999999,5.929977989196778,47.682119205298015
acpH,193,22960.831899999997,5.880641746520996,51.29533678756477
queA,356,39430.3604,5.088874626159667,50.28089887640449
tgt,375,42593.19869999999,5.97488079071045,43.733333333333334
yajC,110,11887.0082,9.571637153625485,54.54545454545454
secD,615,66599.26950000001,8.629754066467285,49.43089430894309
secF,323,35349.9035,5.570982933044433,52.94117647058824
yajD,115,13363.8498,6.1400548934936525,40.0
tsx,294,33588.587,5.0696630477905265,45.23809523809524
yajI,179,19560.0589,5.283832359313963,43.575418994413404
nrdR,149,17228.716,7.663567161560059,42.281879194630875
ribD,367,40305.78999999999,7.323215293884279,47.13896457765668
ribE,156,16156.3027,5.154751014709471,53.205128205128204
nusB,139,15656.791200000001,6.791088676452636,51.798561151079134
thiL,325,35070.4423,4.475240898132324,50.153846153846146
pgpA,172,19417.899699999998,7.090004920959472,59.883720930232556
yajO,324,36419.7264,5.185046195983886,45.06172839506173
dxs,620,67616.15659999999,6.164097785949706,48.54838709677419
ispA,299,32159.262000000002,5.272919273376464,47.82608695652174
xseB,80,8951.8194,4.428803443908691,41.25
thiI,482,54972.423200000005,6.161994743347167,44.190871369294605
yajL,196,20776.844100000002,5.244613456726074,51.53061224489795
panE,303,33870.3756,5.617761421203612,46.864686468646866
yajQ,163,18343.637000000002,5.956976509094238,40.49079754601227
yajR,454,48809.3745,9.080839347839355,58.370044052863435
cyoE,296,32248.1095,9.462685585021976,62.83783783783784
cyoD,109,12029.3367,6.5574235916137695,60.550458715596335
cyoC,204,22622.3708,6.57430477142334,56.372549019607845
cyoB,663,74367.01550000001,6.697815895080566,60.18099547511312
cyoA,315,34910.8975,6.758406257629395,52.6984126984127
ampG,491,53244.5368,8.517772483825684,61.5071283095723
yajG,192,20949.788399999998,8.685003471374515,47.91666666666667
bolA,105,11993.5325,6.187401771545409,46.666666666666664
tig,432,48192.0803,4.825198554992675,43.51851851851852
clpP,207,23186.4098,5.522499275207519,46.85990338164252
clpX,424,46355.450300000004,5.235746574401855,43.63207547169811
lon,784,87437.13849999999,6.012224006652831,45.91836734693878
hupB,90,9193.3976,9.694836235046388,47.77777777777778
ppiD,623,68149.0361,4.938933372497558,44.46227929373997
ybaV,123,12703.5062,8.76023807525635,50.40650406504065
fadM,132,15088.1263,5.308500480651855,46.96969696969697
queC,231,25513.8937,5.681875801086425,47.61904761904761
ybaE,566,64990.7465,6.835252571105957,48.23321554770318
cof,272,30370.595699999998,5.607246208190918,48.161764705882355
decR,152,17437.179399999997,5.738487434387207,49.34210526315789
mdlA,590,65984.45999999999,6.07980556488037,51.52542372881356
mdlB,593,65221.7172,5.6948350906372065,53.288364249578414
glnK,112,12259.0578,5.839660835266113,48.214285714285715
amtB,428,44514.172099999996,6.696053886413575,58.87850467289719
tesB,286,31965.9186,6.172907829284667,48.25174825174825
ybaY,190,19430.953999999998,7.866319465637207,53.1578947368421
ybaZ,129,14449.372299999999,9.20287799835205,46.51162790697674
ybaA,117,13318.104,4.798825263977051,50.427350427350426
pdeB,516,58687.6008,5.732121467590333,49.031007751937985
ylaC,156,18266.9554,6.7398767471313485,52.56410256410257
maa,183,20095.7592,6.1920057296752935,47.540983606557376
hha,72,8627.903900000001,8.78692798614502,44.44444444444444
tomB,124,14557.2284,4.963715171813964,41.935483870967744
acrB,1049,113572.30489999999,5.387051963806152,52.716873212583415
acrA,397,42196.175,7.690110969543458,44.33249370277078
acrR,215,24766.3751,5.6555025100708,46.97674418604651
mscK,1120,127213.72519999999,8.044639015197756,49.01785714285714
ybaM,53,6024.8042,4.464725685119628,47.16981132075472
priC,175,20343.0559,10.00621852874756,45.714285714285715
ybaN,125,14769.9699,10.947392463684082,68.0
apt,183,19858.615700000002,5.257629585266113,49.18032786885246
dnaX,643,71136.8961,6.388554954528809,49.30015552099534
dnaX,643,71136.8961,6.388554954528809,49.30015552099534
ybaB,109,12014.714199999999,5.011971473693847,42.201834862385326
recR,201,21962.7839,5.132583808898924,42.78606965174129
htpG,624,71421.6357,5.085918998718261,42.467948717948715
adk,214,23585.7353,5.551373481750488,44.85981308411215
hemH,320,35883.9654,6.195586585998535,51.24999999999999
aes,319,36033.672099999996,4.946095085144043,50.470219435736674
gsk,434,48448.2173,5.501582527160643,45.852534562211986
ybaL,558,59422.8193,4.995999717712402,59.85663082437276
fsr,406,43304.9847,9.71856060028076,60.591133004926114
ushA,550,60823.2391,5.474584007263183,45.27272727272727
ybaK,159,17092.7137,9.023978233337402,50.314465408805034
ybaP,264,29902.136599999998,6.24378604888916,50.75757575757576
ybaQ,113,13170.942299999999,5.724959754943849,46.902654867256636
copA,834,87872.1304,5.366987800598144,51.438848920863315
copA,834,87872.1304,5.366987800598144,51.438848920863315
glsA,310,32902.941199999994,4.814058113098144,49.67741935483871
ybaT,430,45658.0968,9.018176078796387,63.0232558139535
cueR,135,15234.9999,5.7178548812866214,38.51851851851852
ybbJ,152,16938.618499999997,7.072669029235839,53.94736842105263
qmcA,305,33742.7105,5.597754096984862,49.50819672131148
fetA,225,25381.6965,5.265814399719238,46.22222222222222
fetB,259,28164.463399999997,9.658540534973145,57.52895752895753
